ref,label,barcode,price_ht,tva_tx,qty,category_ref,warehouse_ref,image,description
10001,Coca cola zero 300ml can MFD10/04/2025,3948764111259,1.533,16,63,DRINKS,MAIN,10001.jpg,Soft drink can
10002,Coca cola Original Taste 300ml can,8901764011252,1.722,16,91,DRINKS,MAIN,10002.jpg,Soft drink can
10003,Coca cola can cokes LG,0049000006346,0.763,16,154,DRINKS,MAIN,10003.jpg,Soft drink can
10004,Coca cola mini cans cola,0049000067217,0.540,16,154,DRINKS,MAIN,10004.jpg,Soft drink can
10005,Chips Paysannes,3770032551043,3.412,16,72,SNACKS,MAIN,10005.jpg,Potato chips
10006,Sweet Chilli & Sour Cream Potato Chips,5017764130787,2.326,16,58,SNACKS,MAIN,10006.jpg,Potato chips
10007,Sour Cream and Onion,5053990179039,0.307,16,105,SNACKS,MAIN,10007.jpg,Potato chips
10008,Lay's Oven baked mediterranean herbs,8710398160850,1.038,16,56,SNACKS,MAIN,10008.jpg,Potato chips
10009,Assil vanille,6111032001003,2.140,4,113,DAIRY,MAIN,10009.jpg,Yogurt
10010,raibi jaoda,6111242100930,2.574,4,83,DAIRY,MAIN,10010.jpg,Yogurt
10011,Activia Céréales,6111032002208,1.083,4,105,DAIRY,MAIN,10011.jpg,Yogurt
10012,Ghani,6111242102187,1.262,4,30,DAIRY,MAIN,10012.jpg,Yogurt
10013,Pain De Mie Bio,3760049790214,1.969,4,40,BAKERY,MAIN,10013.jpg,Packaged bakery item
10014,Grandes tranches céréales et graines,3760049794298,1.836,4,63,BAKERY,MAIN,10014.jpg,Packaged bakery item
10015,Brioche tressée à la main sans additifs,3228857001231,0.911,4,47,BAKERY,MAIN,10015.jpg,Packaged bakery item
10016,Pain de mie grandes tranches Toastiligne complet,3760049790252,2.406,4,63,BAKERY,MAIN,10016.jpg,Packaged bakery item
10017,Chips,3336972006014,1.742,16,68,FROZEN,MAIN,10017.jpg,Frozen food
10018,Lays,3168930171683,1.713,16,64,FROZEN,MAIN,10018.jpg,Frozen food
10019,Oven Baked Sweet Potato Fries,5391528180073,4.400,16,25,FROZEN,MAIN,10019.jpg,Frozen food
10020,Chips Saveur Barbecue,3336972103058,5.068,16,88,FROZEN,MAIN,10020.jpg,Frozen food
10021,"Sucre poudre cassonade, étui bec verseur, 1kg",3256225134656,1.461,4,83,GROCERY,MAIN,10021.jpg,Grocery staple
10022,"Etui Bec Verseur ""Doré de Canne"" Equitable Saint Louis 1kg",3220035230211,1.144,4,72,GROCERY,MAIN,10022.jpg,Grocery staple
10023,NESTLE® Lait Concentré Sucré à pâtisser lait entier boîte 1kg,3033710050000,6.323,4,114,GROCERY,MAIN,10023.jpg,Grocery staple
10024,Fairtrade Demerara Cane Sugar 1kg,00087186,6.710,4,81,GROCERY,MAIN,10024.jpg,Grocery staple
10025,Atún claro en aceite de oliva,8480000180025,3.067,16,120,CANNED,MAIN,10025.jpg,Canned tuna
10026,TAM THON,3341430551449,0.985,16,114,CANNED,MAIN,10026.jpg,Canned tuna
10027,Thon entier au nature,3019081239626,1.634,16,67,CANNED,MAIN,10027.jpg,Canned tuna
10028,Thon entier au naturel Albacore,3019081239640,4.739,16,59,CANNED,MAIN,10028.jpg,Canned tuna
10029,Coconut Milk,8001090662231,8.798,16,68,PERSONALCARE,MAIN,10029.jpg,Personal care item
10030,SHAMPOO,8001090662057,3.502,16,66,PERSONALCARE,MAIN,10030.jpg,Personal care item
10031,Johnsons,6223000659243,2.464,16,65,PERSONALCARE,MAIN,10031.jpg,Personal care item
10032,garnier,3600542370110,2.886,16,54,PERSONALCARE,MAIN,10032.jpg,Personal care item
10033,Taina Eco friendly best quality tissue paper,8901435006969,5.181,16,29,HOUSEHOLD,MAIN,10033.jpg,Household paper item
10034,Facial Tissues,0063435711415,4.616,16,41,HOUSEHOLD,MAIN,10034.jpg,Household paper item
10035,Papier toilette ultra confort,4056489172215,4.158,16,51,HOUSEHOLD,MAIN,10035.jpg,Household paper item
10036,"Bathroom Tissue, ECO 2",0627735018607,1.897,16,68,HOUSEHOLD,MAIN,10036.jpg,Household paper item
10037,Long Grain Parboiled Rice in Bag,20053970,2.420,4,106,RICEPASTA,MAIN,10037.jpg,Rice or pasta item
10038,Boil In The Bag Long Grain Rice,5000119415318,4.929,4,53,RICEPASTA,MAIN,10038.jpg,Rice or pasta item
10039,Boil in Bag Long Grain Rice,5410673052001,4.908,4,32,RICEPASTA,MAIN,10039.jpg,Rice or pasta item
10040,4 steam bags white & wild rice with mixed vegetables,5051277785140,2.174,4,29,RICEPASTA,MAIN,10040.jpg,Rice or pasta item
10041,Ketchup star 310 g,6111184004730,4.323,16,76,SAUCES,MAIN,10041.jpg,Sauce product
